wl,n
0.210,1.65596
0.211,1.65808
0.212,1.66036
0.213,1.66276
0.214,1.66526
0.215,1.66784
0.216,1.67047
0.217,1.67314
0.218,1.67582
0.219,1.67849
0.220,1.68113
0.221,1.68371
0.222,1.68620
0.223,1.68858
0.224,1.69084
0.225,1.69297
0.226,1.69496
0.227,1.69683
0.228,1.69855
0.229,1.70014
0.230,1.70160
0.231,1.70293
0.232,1.70413
0.233,1.70520
0.234,1.70615
0.235,1.70697
0.236,1.70768
0.237,1.70827
0.238,1.70875
0.239,1.70913
0.240,1.70941
0.241,1.70961
0.242,1.70973
0.243,1.70978
0.244,1.70977
0.245,1.70970
0.246,1.70958
0.247,1.70942
0.248,1.70923
0.249,1.70902
0.250,1.70880
0.251,1.70857
0.252,1.70834
0.253,1.70812
0.254,1.70792
0.255,1.70774
0.256,1.70758
0.257,1.70746
0.258,1.70738
0.259,1.70735
0.260,1.70736
0.261,1.70744
0.262,1.70758
0.263,1.70779
0.264,1.70807
0.265,1.70843
0.266,1.70888
0.267,1.70942
0.268,1.71006
0.269,1.71079
0.270,1.71163
0.271,1.71258
0.272,1.71364
0.273,1.71482
0.274,1.71611
0.275,1.71754
0.276,1.71909
0.277,1.72077
0.278,1.72259
0.279,1.72455
0.280,1.72665
0.281,1.72890
0.282,1.73130
0.283,1.73386
0.284,1.73657
0.285,1.73945
0.286,1.74248
0.287,1.74568
0.288,1.74904
0.289,1.75255
0.290,1.75623
0.291,1.76006
0.292,1.76405
0.293,1.76820
0.294,1.77251
0.295,1.77697
0.296,1.78159
0.297,1.78636
0.298,1.79128
0.299,1.79636
0.300,1.80158
0.301,1.80696
0.302,1.81250
0.303,1.81818
0.304,1.82402
0.305,1.83002
0.306,1.83616
0.307,1.84245
0.308,1.84887
0.309,1.85543
0.310,1.86213
0.311,1.86895
0.312,1.87589
0.313,1.88294
0.314,1.89011
0.315,1.89739
0.316,1.90477
0.317,1.91224
0.318,1.91982
0.319,1.92748
0.320,1.93522
0.321,1.94305
0.322,1.95095
0.323,1.95893
0.324,1.96698
0.325,1.97510
0.326,1.98328
0.327,1.99152
0.328,1.99982
0.329,2.00817
0.330,2.01658
0.331,2.02503
0.332,2.03353
0.333,2.04206
0.334,2.05063
0.335,2.05923
0.336,2.06786
0.337,2.07652
0.338,2.08520
0.339,2.09389
0.340,2.10260
